
UART_OK
[TB] v2b_arm_fashion14_trace start - 10 Fashion 14x14 samples via AXI-Lite
[TB] V2B_SOC_BASE=0xa0000000
[OK] MMIO round-trip CFG1
TRACE_HASH_BEGIN config=v2b_fc_fashion14_2L host=arm sample=0
HASH layer=0 t=0 buf=A 0xC7F0DFD3
HASH layer=0 t=1 buf=A 0x999F88A2
HASH layer=0 t=2 buf=A 0xE16BCABB
HASH layer=0 t=3 buf=A 0x83AE80A1
HASH layer=0 t=4 buf=A 0x0784004D
HASH layer=0 t=5 buf=A 0x34CB1170
HASH layer=0 t=6 buf=A 0xAD3A24E7
HASH layer=0 t=7 buf=A 0xC7F7ABDF
HASH layer=0 t=8 buf=A 0x4F6C7652
HASH layer=0 t=9 buf=A 0x58E801F7
HASH layer=0 t=10 buf=A 0x117AB17B
HASH layer=0 t=11 buf=A 0xD3ACA05F
HASH layer=0 t=12 buf=A 0x033D45CA
HASH layer=0 t=13 buf=A 0x49FF8A5F
HASH layer=0 t=14 buf=A 0x77D77801
HASH layer=0 t=15 buf=A 0x13B658AA
HASH layer=0 t=16 buf=A 0xBFC07FD6
HASH layer=0 t=17 buf=A 0x6789FE24
HASH layer=0 t=18 buf=A 0x825FC568
HASH layer=0 t=19 buf=A 0x81E88D88
HASH layer=0 t=20 buf=A 0x12FF88E3
HASH layer=0 t=21 buf=A 0x2BD81078
HASH layer=0 t=22 buf=A 0x3B53D0DC
HASH layer=0 t=23 buf=A 0x98D92044
HASH layer=0 t=24 buf=A 0x09E0F87B
HASH layer=0 t=25 buf=A 0x72A95495
HASH layer=0 t=26 buf=A 0xDE0A3568
HASH layer=0 t=27 buf=A 0x75A6E394
HASH layer=0 t=28 buf=A 0xD73A8584
HASH layer=0 t=29 buf=A 0x63BEDF3D
HASH layer=0 t=30 buf=A 0x5D962D63
HASH layer=0 t=31 buf=A 0x64B1683C
HASH layer=0 t=32 buf=A 0x72C79BBA
HASH layer=0 t=33 buf=A 0x6C0B3C3D
HASH layer=0 t=34 buf=A 0xB34D0ACE
HASH layer=0 t=35 buf=A 0x6B048B3C
HASH layer=0 t=36 buf=A 0x197D973E
HASH layer=0 t=37 buf=A 0x7D1CB795
HASH layer=0 t=38 buf=A 0x433445CB
HASH layer=0 t=39 buf=A 0x9B7DC439
HASH layer=0 t=40 buf=A 0xE5008831
HASH layer=0 t=41 buf=A 0x62DAF01C
HASH layer=0 t=42 buf=A 0x52D852D8
HASH layer=0 t=43 buf=A 0x10BA99E4
HASH layer=0 t=44 buf=A 0x511B587B
HASH layer=0 t=45 buf=A 0x683C1D24
HASH layer=0 t=46 buf=A 0x9179C040
HASH layer=0 t=47 buf=A 0xFDB83986
HASH layer=0 t=48 buf=A 0x9E03E8AD
HASH layer=0 t=49 buf=A 0xFA62C806
HASH layer=0 t=50 buf=A 0xC44A3A58
HASH layer=0 t=51 buf=A 0x32A08950
HASH layer=0 t=52 buf=A 0x6E7AA7A8
HASH layer=0 t=53 buf=A 0x60DA2AB6
HASH layer=0 t=54 buf=A 0xD55DB1F0
HASH layer=0 t=55 buf=A 0x13D4B508
HASH layer=0 t=56 buf=A 0xA58070E6
HASH layer=0 t=57 buf=A 0x208F94E0
HASH layer=0 t=58 buf=A 0x1EA766BE
HASH layer=0 t=59 buf=A 0x0923111B
HASH layer=0 t=60 buf=A 0x21F8175C
HASH layer=0 t=61 buf=A 0x1F3B2DB2
HASH layer=0 t=62 buf=A 0x412115D2
HASH layer=0 t=63 buf=A 0x8ABF0910
HASH layer=1 t=0 buf=B 0xE129EF7F
HASH layer=1 t=1 buf=B 0x8548A136
HASH layer=1 t=2 buf=B 0x5A0E97C5
HASH layer=1 t=3 buf=B 0x10CC8594
HASH layer=1 t=4 buf=B 0x3FF3FC62
HASH layer=1 t=5 buf=B 0x7531EE33
HASH layer=1 t=6 buf=B 0xAA77D8C0
HASH layer=1 t=7 buf=B 0xE0B5CA91
HASH layer=1 t=8 buf=B 0xF4092B2C
HASH layer=1 t=9 buf=B 0xBECB397D
HASH layer=1 t=10 buf=B 0xCFE6E90F
HASH layer=1 t=11 buf=B 0x2B4F1DDF
HASH layer=1 t=12 buf=B 0x04706429
HASH layer=1 t=13 buf=B 0x4EB27678
HASH layer=1 t=14 buf=B 0x91F4408B
HASH layer=1 t=15 buf=B 0xDB3652DA
HASH layer=1 t=16 buf=B 0xB88D83F1
HASH layer=1 t=17 buf=B 0xF24F91A0
HASH layer=1 t=18 buf=B 0x836241D2
HASH layer=1 t=19 buf=B 0xC9A05383
HASH layer=1 t=20 buf=B 0x48F4CCF4
HASH layer=1 t=21 buf=B 0x0236DEA5
HASH layer=1 t=22 buf=B 0xDD70E856
HASH layer=1 t=23 buf=B 0x97B2FA07
HASH layer=1 t=24 buf=B 0x830E1BBA
HASH layer=1 t=25 buf=B 0x67A7EF6A
HASH layer=1 t=26 buf=B 0xB8E1D999
HASH layer=1 t=27 buf=B 0x5C482D49
HASH layer=1 t=28 buf=B 0xDD1CB23E
HASH layer=1 t=29 buf=B 0x97DEA06F
HASH layer=1 t=30 buf=B 0x4898969C
HASH layer=1 t=31 buf=B 0x025A84CD
HASH layer=1 t=32 buf=B 0x8FEF34CA
HASH layer=1 t=33 buf=B 0xC52D269B
HASH layer=1 t=34 buf=B 0x1A6B1068
HASH layer=1 t=35 buf=B 0x50A90239
HASH layer=1 t=36 buf=B 0xD1FD9D4E
HASH layer=1 t=37 buf=B 0x3554699E
HASH layer=1 t=38 buf=B 0x4479B9EC
HASH layer=1 t=39 buf=B 0xA0D04D3C
HASH layer=1 t=40 buf=B 0xB46CAC81
HASH layer=1 t=41 buf=B 0xFEAEBED0
HASH layer=1 t=42 buf=B 0x21E88823
HASH layer=1 t=43 buf=B 0x6B2A9A72
HASH layer=1 t=44 buf=B 0x4415E384
HASH layer=1 t=45 buf=B 0x0ED7F1D5
HASH layer=1 t=46 buf=B 0xD191C726
HASH layer=1 t=47 buf=B 0x9B53D577
HASH layer=1 t=48 buf=B 0xF8E8045C
HASH layer=1 t=49 buf=B 0xB22A160D
HASH layer=1 t=50 buf=B 0x6D6C20FE
HASH layer=1 t=51 buf=B 0x27AE32AF
HASH layer=1 t=52 buf=B 0x08914B59
HASH layer=1 t=53 buf=B 0x42535908
HASH layer=1 t=54 buf=B 0x9D156FFB
HASH layer=1 t=55 buf=B 0xD7D77DAA
HASH layer=1 t=56 buf=B 0x6D007A96
HASH layer=1 t=57 buf=B 0x27C268C7
HASH layer=1 t=58 buf=B 0x56EFB8B5
HASH layer=1 t=59 buf=B 0x1C2DAAE4
HASH layer=1 t=60 buf=B 0x3312D312
HASH layer=1 t=61 buf=B 0xD7BB27C2
HASH layer=1 t=62 buf=B 0x08FD1131
HASH layer=1 t=63 buf=B 0x423F0360
TRACE_HASH_END count=128
[PASS] sample 0 label=0 pred=0 counts=[63 0 0 34 0 0 0 0 0 0]
TRACE_HASH_BEGIN config=v2b_fc_fashion14_2L host=arm sample=1
HASH layer=0 t=0 buf=A 0xC7F0DFD3
HASH layer=0 t=1 buf=A 0x13D81030
HASH layer=0 t=2 buf=A 0x79459C56
HASH layer=0 t=3 buf=A 0x2DFCC0E3
HASH layer=0 t=4 buf=A 0xE1A82B69
HASH layer=0 t=5 buf=A 0xE3A15F35
HASH layer=0 t=6 buf=A 0x3CE769C6
HASH layer=0 t=7 buf=A 0x695BC221
HASH layer=0 t=8 buf=A 0xAE8909FE
HASH layer=0 t=9 buf=A 0xA02984E0
HASH layer=0 t=10 buf=A 0x2F727793
HASH layer=0 t=11 buf=A 0x267AE0B6
HASH layer=0 t=12 buf=A 0x163B20F6
HASH layer=0 t=13 buf=A 0xD822C77E
HASH layer=0 t=14 buf=A 0xD8A322AD
HASH layer=0 t=15 buf=A 0x8D1F894A
HASH layer=0 t=16 buf=A 0x22B4CBB5
HASH layer=0 t=17 buf=A 0xECAD2C3D
HASH layer=0 t=18 buf=A 0x203C5A3A
HASH layer=0 t=19 buf=A 0x853C2355
HASH layer=0 t=20 buf=A 0xCDB33D06
HASH layer=0 t=21 buf=A 0x541F0535
HASH layer=0 t=22 buf=A 0x10FC7FA9
HASH layer=0 t=23 buf=A 0x9A87076E
HASH layer=0 t=24 buf=A 0x193753FE
HASH layer=0 t=25 buf=A 0x5F5CB8ED
HASH layer=0 t=26 buf=A 0xDB06A8E7
HASH layer=0 t=27 buf=A 0x517DD020
HASH layer=0 t=28 buf=A 0x29F7766D
HASH layer=0 t=29 buf=A 0xAF25F7E8
HASH layer=0 t=30 buf=A 0x2B7FE7E2
HASH layer=0 t=31 buf=A 0xA1049F25
HASH layer=0 t=32 buf=A 0xBBBD9A0F
HASH layer=0 t=33 buf=A 0x790D84C5
HASH layer=0 t=34 buf=A 0x229047EF
HASH layer=0 t=35 buf=A 0xE0205925
HASH layer=0 t=36 buf=A 0x1C710AB1
HASH layer=0 t=37 buf=A 0xE26D5527
HASH layer=0 t=38 buf=A 0x89F52E13
HASH layer=0 t=39 buf=A 0x038E56D4
HASH layer=0 t=40 buf=A 0x1732B769
HASH layer=0 t=41 buf=A 0xC655E957
HASH layer=0 t=42 buf=A 0x15BA26E6
HASH layer=0 t=43 buf=A 0x8C161ED5
HASH layer=0 t=44 buf=A 0xAF809E61
HASH layer=0 t=45 buf=A 0x7EE7C05F
HASH layer=0 t=46 buf=A 0x61189C3A
HASH layer=0 t=47 buf=A 0xA3A882F0
HASH layer=0 t=48 buf=A 0x1FD480FB
HASH layer=0 t=49 buf=A 0xD1CD6773
HASH layer=0 t=50 buf=A 0x11F5E836
HASH layer=0 t=51 buf=A 0x84F02947
HASH layer=0 t=52 buf=A 0x78A17AD3
HASH layer=0 t=53 buf=A 0xFE73FB56
